0.59160, -0.17180, 0.20300, 0.05020, 0.02840, -0.72750, 0.68370
0.23140, 0.36890, 0.18910, -0.01650, -0.03500, 0.99900, 0.02280
0.68570, 0.38240, 0.20130, 0.02980, 0.01730, -0.00050, -0.99940
0.77370, 0.08610, 0.21760, -0.00890, 0.01580, 0.32270, -0.94630
0.78500, -0.17630, 0.20920, -0.06500, -0.01370, 0.45160, -0.88970
0.38890, -0.41940, 0.16140, -0.03060, -0.02370, 0.90110, -0.43190
0.37700, -0.25470, 0.19360, -0.02610, -0.02890, 0.96470, -0.26060
0.38750, -0.15360, 0.20230, 0.03320, 0.00640, -0.69470, 0.71850
0.35930, 0.08860, 0.22150, -0.00060, 0.01490, 0.11880, -0.99280
0.43650, 0.25950, 0.23300, 0.48530, -0.02670, -0.87220, -0.05520
0.43050, 0.01570, 0.23470, 0.48420, -0.00560, -0.87490, 0.00860
0.43090, -0.01770, 0.23530, 0.48420, -0.00560, -0.87490, 0.00860
0.47260, -0.18250, 0.19740, 0.06750, 0.04200, -0.69600, 0.71360
0.73500, 0.06730, 0.25160, 0.01280, -0.30860, -0.01830, -0.95090
0.73220, 0.13310, 0.25070, 0.01270, -0.30450, -0.01840, -0.95230
0.49100, 0.37960, 0.19480, 0.02910, 0.01910, 0.04530, -0.99840
0.26170, 0.20260, 0.20600, 0.00360, 0.02380, -0.00010, -0.99970
0.29360, 0.06410, 0.20060, -0.00730, 0.01530, 0.04390, -0.99890
0.29410, -0.17450, 0.19220, -0.06140, -0.02330, 0.59090, -0.80410
0.28060, -0.39710, 0.14430, -0.04790, -0.02050, 0.94660, -0.31810
